Suplevit,,,,,,,,,,,,,
Producto,Marca,Cantidad,Precio (Efectivo-Zelle-Binance),Precio Bs (tasa euro),Concentración ,Servicios,Etiquetas,Sabor,Presentación ,Descripción,Categoría,Imagen sin fondo,Tabla Nutricional 
Ácido Folinico Kids,Triquetra,10,"$45,00","€50,00",Dosificación ajustable ,Aproximadamente 120 servicios ,"Sin gluten, sin soya, No-GMO, libre de metales pesados, Vegano, sin azúcar ",Sabor a frutos rojos,60ml,"Forma activa de vitamina B9 combinado con cofactores esenciales: Vitaminas B12, B6 y B2, que participan en importantes procesos neurológicos y metabólicos. Apoya la producción de neurotransmisores, contribuye al desarrollo cognitivo y favorece la salud del sistema nervioso.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Acido Folinico Triquetra.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla acido folinico triquetra.jpg"""
Ácido Folinico,Triquetra,0,"$45,00","€50,00",Dosificación ajustable ,Aproximadamente 50 servicios ,"Sin gluten, sin soya, No-GMO, libre de metales pesados, Vegano, sin azúcar ",Sabor a frutos rojos,30ml,"Es un suplemento líquido de alta biodisponibilidad diseñado para ofrecer un soporte integral a tu cerebro, estado de ánimo, corazón y sistema nervioso. Su fórmula premium combina 1 mg de ácido folínico en su forma activa con un sistema tri-cofactor de vitaminas esenciales (B9, B12, B6 y B2), lo que garantiza una absorción superior e inmediata sin recargar tu organismo.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Ácido Folínico de adulto.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Tabla ácido folínico adulto.jpg"""
Caramelos masticables , Zaffy Taffy,10,"$15,00","€17,00",-,Aproximadamente 16 - 18 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a mix de frutas ,142g,"Caramelos masticables sabor a frutas en envoltorios individuales. Altos en vitamina C. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Caramelos Zaffy Taffy frutas.png""",
Caramelos masticables ,Zolli Caramelz,10,"$15,00","€17,00",-,Aproximadamente 16 - 18 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a chocolate ,142g,"Caramelos masticables sabor a chocolate en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\ZolliCaramelz Chocolate.png""",
Caramelos masticables, Zolli Caramelz,10,"$13,00","€15,00",-,Aproximadamente 10 - 12 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a caramelo cremoso,85g,"Caramelos masticables sabor a caramelo cremoso en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\ZolliCaramelz Caramelo cremoso.png""",
Chupetas ,ZolliBallz ,10,"$15,00","€17,00",-,Aproximadamente 12 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a mix de frutas ,147g,"Chupetas redondas en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\chupetas ZolliBallz redondas.png""",
Chupetas, Zollipops ,10,"$15,00","€17,00",-,Aproximadamente 10 - 11 piezas ,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a mix de frutas ,147g,"Chupetas redondas en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Chupetas Zollipops redondas.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla citrato de magnesio dr moritz gomitas.jpg"""
Citrato de magnesio ,Firewaterstar,10,"$40,00","€45,00",Dosificación ajustable ,Aproximadamente 120 servicios ,"Sin azúcar, Vegano, No-GMO, orgánico, sin saborizantes artificiales ",Sabor a Vainilla,120ml,"Una opción líquida y pura diseñada para brindar calma, relajación y equilibrio al sistema nervioso. Su formato permite una asimilación rápida y una integración sin complicaciones en bebidas, ideal para apoyar las rutinas de descanso y la autorregulación diaria.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Citrato de Magnesio Firewaterstar.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla citrato de magnesio firewaterstar.jpg"""
Crema Dental sin Flúor  ,Tom's of Maine,10,"$12,00","€15,00",-,-,"Libre de flúor, vegana, sin gluten ",Sabor a fresa,144g,"Es una crema dental 100% natural diseñada para limpiar suavemente los dientes, eliminar la placa y mantener las encías sanas en los más pequeños sin la necesidad de químicos artificiales ni flúor, lo que la hace completamente segura en caso de ingesta accidental durante el aprendizaje del cepillado.",Cuidado Personal,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Crema Dental Sin Fluor Tom´s Of Maine.png""",
Gel de baño + Crema Hidratante  ,Honest,10,"$35,00","€40,00",-,-,"Sin lágrimas, hipoalergénico, apto para piel sensible, formulado con ingredientes de origen natural ",Fragancia a lavanda,250ml - 295ml,"Es un dúo de cuidado corporal diseñado para limpiar, nutrir y preparar a bebés, niños y adultos para un descanso reparador mediante los beneficios aromáticos de la lavanda. Formulado con ingredientes de origen vegetal, aloe vera y aceites nutritivos, este combo ofrece una rutina completa de higiene y humectación ideal para relajar el cuerpo y la mente, especialmente durante la rutina nocturna antes de dormir.",Cuidado Personal,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Set de Gel y crema Honest Lavanda.png""",
