Suplevit,,,,,,,,,,,,
Producto,Cantidad,Precio (Efectivo-Zelle-Binance),Precio Bs (tasa euro),Concentración ,Servicios,Etiquetas,Sabor,Presentación ,Descripción,Categoría,Imagen sin fondo,Tabla Nutricional 
Ácido Folinico Triquetra,5,"$45,00","€50,00",Dosificación ajustable ,Aproximadamente 120 servicios ,"Sin gluten, sin soya, No-GMO, libre de metales pesados, Vegano, sin azúcar ",Sabor a frutos rojos,60ml,"Forma activa de vitamina B9 combinado con cofactores esenciales: Vitaminas B12, B6 y B2, que participan en importantes procesos neurológicos y metabólicos. Apoya la producción de neurotransmisores, contribuye al desarrollo cognitivo y favorece la salud del sistema nervioso.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Acido Folinico Triquetra.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Caramelos masticables Zaffy Taffy,1,"$15,00","€17,00",-,Aproximadamente 16 - 18 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a Banana y fresa,142g,"Caramelos masticables sabor a fresa y banana en envoltorios individuales. Altos en vitamina C. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Caramelos Zaffy Taffy Banana-fresa.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Caramelos masticables Zaffy Taffy,2,"$15,00","€17,00",-,Aproximadamente 16 - 18 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a mix de frutas ,142g,"Caramelos masticables sabor a frutas en envoltorios individuales. Altos en vitamina C. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Caramelos Zaffy Taffy frutas.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Caramelos masticables Zolli Caramelz,2,"$15,00","€17,00",-,Aproximadamente 16 - 18 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a chocolate ,142g,"Caramelos masticables sabor a chocolate en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\ZolliCaramelz Chocolate.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Caramelos masticables Zolli Caramelz,2,"$13,00","€15,00",-,Aproximadamente 10 - 12 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a caramelo cremoso,85g,"Caramelos masticables sabor a caramelo cremoso en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\ZolliCaramelz Caramelo cremoso.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Chupetas ZolliBallz ,2,"$15,00","€17,00",-,Aproximadamente 12 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a mix de frutas ,147g,"Chupetas redondas en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\chupetas ZolliBallz redondas.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Chupetas Zollipops ,4,"$15,00","€17,00",-,Aproximadamente 10 - 11 piezas ,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a mix de frutas ,147g,"Chupetas redondas en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Chupetas Zollipops redondas.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Citrato de Magnesio Dr. Moritz ,3,"$25,00","€30,00",100mg por servicio,30 - 60 servicios,"Sin azúcar, No-GMO, ",Sabor a frambuesa,60 gomitas,"El soporte perfecto para la calma y la relajación. Estas gomitas están diseñadas para ayudar a reducir el estrés y promover el bienestar general, ofreciendo una alternativa deliciosa, limpia y de fácil aceptación para apoyar la autorregulación diaria en niños neurodivergentes.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Citrato de magnesio Dr. Moritz gomitas.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Citrato de magnesio Firewaterstar,4,"$40,00","€45,00",Dosificación ajustable ,Aproximadamente 120 servicios ,"Sin azúcar, Vegano, No-GMO, orgánico, sin saborizantes artificiales ",Sabor a Vainilla,120ml,"Una opción líquida y pura diseñada para brindar calma, relajación y equilibrio al sistema nervioso. Su formato permite una asimilación rápida y una integración sin complicaciones en bebidas, ideal para apoyar las rutinas de descanso y la autorregulación diaria.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Citrato de Magnesio Firewaterstar.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
Crema Dental sin Flúor Tom's of Maine ,2,"$12,00","€15,00",-,-,"Libre de flúor, vegana, sin gluten ",Sabor a fresa,144g,"Es una crema dental 100% natural diseñada para limpiar suavemente los dientes, eliminar la placa y mantener las encías sanas en los más pequeños sin la necesidad de químicos artificiales ni flúor, lo que la hace completamente segura en caso de ingesta accidental durante el aprendizaje del cepillado.",Cuidado Personal,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Crema Dental Sin Fluor Tom´s Of Maine.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Captura de pantalla 2026-07-27 235720.png"""
